"Date","Pressing period","Application","Title","Keystrokes"
"25.07.2024","00:04:08 - 00:27:08","electron","verifyUser.js — feefty","<META + GRAVE>gti config username←←←←.name⏎git config user.name⏎"
"25.07.2024","00:27:08 - 00:57:27","electron","Step4.jsx — feefty","yarn dev⏎yarn dev⏎<META + TAB><META + TAB><META + TAB><META + TAB><META + TAB><META + TAB>"
"25.07.2024","00:57:27 - 00:57:32","electron","queries.jsx — admin","<META + TAB>"
"25.07.2024","00:57:32 - 00:58:03","special:null","New Tab","fig⏎"
"25.07.2024","00:58:03 - 00:58:03","special:null","PUFF Website – Figma","f"
"25.07.2024","00:58:03 - 00:59:43","special:null","New Tab","igma app mac⏎"
"25.07.2024","00:59:43 - 00:59:44","special:null","Figma Downloads | Web Design App for Desktops & Mobile","<META + C><META + TAB>"
"25.07.2024","00:59:44 - 00:59:48","finder","Downloads","<META + TAB><TAB>"
"25.07.2024","00:59:48 - 01:00:22","slack","form-flow (Channel) - Devil - Slack","you have<META + ←><META + ←>I esnt a fgima file.<⏎>you hav eto download the figa←ma app 9g0←←<META + V>0 and open this file witht ←← this app⏎<META + TAB><META + TAB>"
"25.07.2024","01:00:34 - 01:00:38","special:null","Feefty/feefty: Main feefty repo","g"
"25.07.2024","01:00:38 - 01:00:41","special:null","New Tab","it⏎"
"25.07.2024","01:00:41 - 01:01:52","special:null","GitHub","sacstop←ned<TAB>"
"25.07.2024","01:01:52 - 01:02:00","finder","web","<META + C>"
"25.07.2024","01:02:00 - 01:02:08","finder","sac","exam⏎⏎"
"25.07.2024","01:02:08 - 01:02:29","finder","exam","<META + V><META + DOT>"
"25.07.2024","01:02:29 - 01:02:37","finder","web","<META + C>"
"25.07.2024","01:02:37 - 01:03:30","finder","exam","<META + V>"
"25.07.2024","01:03:30 - 01:04:32","finder","sac","<META + GRAVE><META + GRAVE><META + GRAVE><META + GRAVE><META + GRAVE><META + GRAVE><META + GRAVE><META + GRAVE><META + I>m←←pme⏎"
"25.07.2024","01:05:18 - 01:05:19","electron","queries.jsx — admin","<META + GRAVE><META + GRAVE>"
"25.07.2024","01:05:20 - 01:05:32","electron","queries.jsx — admin","st"
"25.07.2024","01:05:32 - 01:06:04","electron","PayFailed.tsx — stoned-ape-web","πsa←←←sa←←←puff<DOWN>⏎"
"25.07.2024","01:06:04 - 01:06:07","electron","puff-new.tsx — stoned-ape-web","<TAB><META + TAB>"
"25.07.2024","01:06:25 - 01:06:36","finder","pages","piumod<META + UP>"
"25.07.2024","01:06:36 - 01:06:41","finder","src","mod⏎⏎<META + DOWN><META + TAB>"
"25.07.2024","01:06:41 - 01:06:45","electron","puff-new.tsx — stoned-ape-web","<TAB><META + TAB>"
"25.07.2024","01:06:45 - 01:06:57","finder","modules","puf<DOWN>"
"25.07.2024","02:59:02 - 02:59:08","finder","sac","<META + GRAVE><META + GRAVE><META + GRAVE><META + GRAVE><META + GRAVE><META + GRAVE><ALT + TAB><META + TAB>"
"25.07.2024","02:59:08 - 02:59:10","electron","Header.tsx — stoned-ape-web","<META + TAB><META + GRAVE><META + GRAVE><META + GRAVE>"
"25.07.2024","08:06:34 - 08:07:30","telegram","Adrian Hurimiuc @ Phong Ho (2)","what is thta/⏎"
"25.07.2024","08:07:30 - 08:07:37","slack","Marc-Antoine Fonné (DM) - Feefty - Slack","<ALT + TAB><META + TAB><META + TAB><META + GRAVE>"
"25.07.2024","08:07:41 - 08:07:46","electron","queries.jsx (Working Tree) (queries.jsx) — admin","gut←←←←git ocnfigu ser.nmae⏎<TAB>"
"25.07.2024","08:07:46 - 08:07:49","slack","Marc-Antoine Fonné (DM) - Feefty - Slack","<TAB><META + SHIFT + F>"
