"Date","Pressing period","Application","Title","Keystrokes"
"10.07.2024","00:00:13 - 00:00:28","special:null","Create INITIAL Verification for Organizations with none · Issue #3375 · Feefty/feefty","@ma⏎, in first conditino.<ALT + LEFT><ALT + LEFT><ALT + LEFT><ALT + ←>regarding to <META + GRAVE><META + TAB><META + TAB>"
"10.07.2024","00:00:36 - 00:00:42","special:null","New Tab","<META + SHIFT + N><META + D><META + C><META + I><META + ⏎><META + E><META + R><META + G><META + R><META + A><META + D><META + I><META + G><META + N><META + SPACE>"
"10.07.2024","00:00:42 - 00:00:56","special:null","네이버 사전 (NAVER dictionary)","⏎ot"
"10.07.2024","00:00:56 - 00:00:56","special:null","Search result for 'regarding to' NAVER Dictionary","t"
"10.07.2024","00:00:56 - 00:00:56","","No title","r"
"10.07.2024","00:00:56 - 00:00:58","special:null","New Tab","⏎er"
"10.07.2024","00:00:58 - 00:01:15","special:null","Google Translate","gar←←ergarding to fsitc ←←←r←sc tondtiion<GRAVE>"
"10.07.2024","00:01:15 - 00:03:43","special:null","Create INITIAL Verification for Organizations with none · Issue #3375 · Feefty/feefty","←, curren←←←←←←in db ←, I acn see omsto f orginazation sttau←←←←←←←←←←←←←←←←←←←←←←←←←←← tsa←←←eht sttaus for ←←←←fo oragniaztions era omlts←←←stly `nul`l an d Ican't see an y`acvite<ESC>`."
"10.07.2024","00:03:43 - 00:09:29","skype","Skype","Hi⏎<META + ←>Samuel"
"10.07.2024","00:09:29 - 00:11:11","special:null","ongoing · Feefty","<TAB><META + TAB><TAB>"
"10.07.2024","00:11:11 - 00:11:17","electron","NewVerificationBanner.jsx (Working Tree) (NewVerificationBanner.jsx) — feefty","<META + TAB>"
"10.07.2024","00:11:17 - 00:11:18","special:null","KYC Renewal - Set activity banner status to `disabled` for non-representative · Issue #3344 · Feefty/feefty","<META + C><TAB>"
"10.07.2024","00:11:18 - 00:33:26","electron","NewVerificationBanner.jsx (Working Tree) (NewVerificationBanner.jsx) — feefty","<META + V><META + ⏎>"
"10.07.2024","00:33:26 - 00:33:37","electron","RenewalKycVerification.jsx — feefty","<TAB>"
