"Date","Pressing period","Application","Title","Keystrokes"
"23.07.2024","00:09:40 - 00:09:40","special:null","Book1 - Google Sheets","<META + GRAVE>"
"23.07.2024","00:09:40 - 00:09:41","special:null","Find a product","<GRAVE>"
"23.07.2024","00:09:41 - 00:09:46","special:null","Book1 - Google Sheets","<GRAVE><GRAVE><META + GRAVE>"
"23.07.2024","00:09:46 - 00:09:48","special:null","Find a product","<GRAVE><GRAVE><GRAVE><GRAVE><GRAVE><GRAVE><GRAVE><GRAVE><GRAVE><GRAVE>"
"23.07.2024","00:09:48 - 00:09:49","special:null","Book1 - Google Sheets","<GRAVE>"
"23.07.2024","00:09:53 - 00:09:57","special:null","Book1 - Google Sheets","<META + GRAVE><META + GRAVE><META + GRAVE><META + GRAVE><META + GRAVE><META + GRAVE>"
"23.07.2024","00:10:19 - 00:12:18","special:null","Book1 - Google Sheets","<META + TAB><META + TAB>"
"23.07.2024","00:12:18 - 00:12:18","slack","Phong Ho (DM) - Feefty - Slack","<META + GRAVE>"
"23.07.2024","00:13:18 - 00:13:22","special:null","Create userVerification for existing users · Issue #3200 · Feefty/feefty","<META + TAB><META + TAB>"
"23.07.2024","00:13:22 - 00:13:25","electron","RenewalKycVerification.jsx (Working Tree) (RenewalKycVerification.jsx) — feefty","<TAB>"
"23.07.2024","00:13:25 - 00:30:52","special:null","Create userVerification for existing users · Issue #3200 · Feefty/feefty","<DOWN><DOWN><DOWN><UP><UP><UP><UP><UP><UP><UP><UP><UP><DOWN><DOWN><DOWN><DOWN><DOWN><DOWN><DOWN><UP><UP><UP><DOWN><DOWN><UP><UP><UP><UP><UP><UP><UP><UP><UP><DOWN><UP><UP><DOWN><META + TAB>"
"23.07.2024","00:30:52 - 00:31:15","electron","updateKycSigner.js (Working Tree) (updateKycSigner.js) — feefty","`git log⏎⏎⏎⏎⏎⏎⏎<META + P>creaer←te←esurrev⏎"
"23.07.2024","00:31:15 - 00:31:46","electron","createUserVerifications.js — feefty","<META + SHIFT + F><META + LEFT>'<META + RIGHT>'<META + TAB>"
"23.07.2024","00:31:46 - 00:31:48","special:null","Create INITIAL Verification for Organizations with none · Issue #3375 · Feefty/feefty","<META + TAB>"
"23.07.2024","00:31:48 - 00:32:02","electron","createUserVerifications.js — feefty","<TAB>"
"23.07.2024","00:32:02 - 00:32:03","special:null","Create INITIAL Verification for Organizations with none · Issue #3375 · Feefty/feefty","<META + TAB>"
"23.07.2024","00:32:03 - 00:32:41","electron","createUserVerifications.js — feefty","ta⏎<TAB><META + TAB><META + TAB>"
"23.07.2024","00:32:41 - 00:32:44","slack","Phong Ho (DM) - Feefty - Slack","<TAB><META + TAB>"
"23.07.2024","00:32:44 - 00:33:01","electron","createUserVerifications.js — feefty","<META + TAB>"
"23.07.2024","00:33:01 - 00:33:05","special:null","Create INITIAL Verification for Organizations with none · Issue #3375 · Feefty/feefty","<META + TAB>"
"23.07.2024","00:33:05 - 00:33:18","electron","createUserVerifications.js — feefty","<TAB>"
"23.07.2024","00:33:18 - 00:33:20","special:null","Create INITIAL Verification for Organizations with none · Issue #3375 · Feefty/feefty","<META + TAB>"
"23.07.2024","00:33:20 - 00:33:33","electron","createUserVerifications.js — feefty","<META + TAB><TAB><META + TAB>"
"23.07.2024","00:33:33 - 00:33:33","special:null","Create INITIAL Verification for Organizations with none · Issue #3375 · Feefty/feefty","<TAB>"
"23.07.2024","00:33:33 - 00:33:46","electron","createUserVerifications.js — feefty","<META + TAB>"
"23.07.2024","00:39:08 - 00:39:10","special:null","KYC renewal fixes review · Issue #3268 · Feefty/feefty","<META + TAB><META + F>"
"23.07.2024","00:39:10 - 00:39:23","electron","createUserVerifications.js — feefty","sitl li←si←←ths eigner←←"
"23.07.2024","00:39:23 - 00:39:51","electron","en-US.json — feefty","<META + SHIFT + F>"
"23.07.2024","00:39:51 - 01:08:18","electron","Step4.jsx — feefty","<META + C><META + F><META + V><ESC>ç<META + F><META + V>faeslß<TAB><META + TAB><META + TAB><TAB><TAB><TAB><TAB>"
"23.07.2024","01:08:18 - 01:08:28","special:null","KYC renewal fixes review · Issue #3268 · Feefty/feefty","<META + R><META + TAB><META + TAB><META + TAB><META + TAB>"
"23.07.2024","01:08:38 - 01:08:50","electron","en-US.json — feefty","<TAB>"
"23.07.2024","01:08:50 - 01:09:04","electron","Step4.jsx — feefty","<META + TAB><META + TAB>"
"23.07.2024","01:09:04 - 01:09:04","special:null","KYC renewal fixes review · Issue #3268 · Feefty/feefty","†rea"
"23.07.2024","01:09:04 - 01:11:39","special:null","New Tab","ch otu to you mean⏎how o tunnistall kikc ← dile⏎"
"23.07.2024","01:11:39 - 01:11:51","special:null","how to uninstall kick idle - Google Search","aict⏎"
"23.07.2024","01:11:51 - 01:11:56","activity monitor","Activity Monitor","ikckre<META + TAB>"
"23.07.2024","01:11:56 - 01:12:31","special:null","how to uninstall kick idle - Google Search","<TAB><TAB>←←idlre<DOWN><DOWN>⏎"
"23.07.2024","01:12:31 - 01:13:11","special:null","Frequently Asked Questions: Find Answers and Solutions","<META + F>uinnstal⏎l←<ESC>"
"23.07.2024","01:13:11 - 01:15:03","special:null","Frequently Asked Questions: Find Answers and Solutions 🔊","oHw acn  Iunisntall kciker<SHIFT + ←><SHIFT + ←>Ud←←Idler on my mac pc←←←←←←iMac/<META + ⏎>⏎Phong Hophong.otwork2gmial.oc<SHIFT + ←>oc<SHIFT + ←>m<⏎>"
"23.07.2024","01:15:03 - 01:15:06","special:null","how to uninstall kickidler mac - Google Search","<META + C><META + V>"
"23.07.2024","01:15:06 - 01:19:59","special:null","New Tab","←⏎"
"23.07.2024","01:19:59 - 01:20:00","special:null","KYC renewal fixes review · Issue #3268 · Feefty/feefty","<META + TAB>"
"23.07.2024","01:20:00 - 01:20:00","activity monitor","Activity Monitor","<META + TAB><TAB>"
"23.07.2024","01:20:00 - 01:25:17","special:null","KYC renewal fixes review · Issue #3268 · Feefty/feefty","<TAB>"
"23.07.2024","01:25:17 - 02:36:59","electron","Step4.jsx — feefty","<CTRL + META + Q><TAB>"
"23.07.2024","02:36:59 - 02:37:00","slack","Phong Ho (DM) - Feefty - Slack","<TAB><META + TAB>"
"23.07.2024","02:37:00 - 02:39:14","electron","Step4.jsx — feefty","<TAB>"
"23.07.2024","02:39:14 - 02:40:40","special:null","Find a product","<META + SHIFT + C><META + C><META + R><META + C>"
"23.07.2024","02:40:40 - 02:40:50","tableplus","feefty : core - PostgreSQL 16.2","<META + V>⏎<TAB>"
"23.07.2024","02:40:50 - 02:41:49","special:null","Find a product","<META + R>"
"23.07.2024","02:41:49 - 02:41:51","special:null","Verification renewal","<META + TAB>"
"23.07.2024","02:41:51 - 02:41:51","tableplus","feefty : core - PostgreSQL 16.2","<TAB><META + TAB>"
"23.07.2024","02:41:51 - 02:41:57","special:null","Verification renewal","<TAB>"
"23.07.2024","02:47:46 - 02:47:47","electron","updateKycSigner.js (Working Tree) (updateKycSigner.js) — feefty","<META + TAB>"
"23.07.2024","02:47:47 - 02:53:21","special:null","Verification renewal","<META + TAB>"
"23.07.2024","02:53:21 - 02:54:02","electron","updateKycSigner.js (Working Tree) (updateKycSigner.js) — feefty","<META + F>oragnizat<TAB>"
"23.07.2024","02:54:02 - 03:04:30","special:null","KYC renewal fixes review · Issue #3268 · Feefty/feefty","<TAB>"
"23.07.2024","03:04:30 - 03:15:56","electron","updateKycSigner.js (Working Tree) (updateKycSigner.js) — feefty","<META + TAB>"
"23.07.2024","03:15:56 - 10:04:39","special:null","KYC renewal fixes review · Issue #3268 · Feefty/feefty","œ<CTRL + RIGHT><CTRL + RIGHT><CTRL + RIGHT><CTRL + RIGHT><CTRL + DOWN><CTRL + DOWN><CTRL + DOWN><CTRL + DOWN><CTRL + DOWN><CTRL + DOWN><CTRL + DOWN><CTRL + DOWN><CTRL + DOWN><CTRL + DOWN><CTRL + DOWN><CTRL + DOWN><CTRL + UP><CTRL + UP><CTRL + UP><CTRL + UP><TAB><TAB><META + TAB>"
"23.07.2024","10:04:39 - 10:13:44","electron","Step3.jsx (Working Tree) (Step3.jsx) — feefty","<META + SHIFT + F>"
"23.07.2024","10:13:44 - 10:13:56","electron","FirstKycVerification.jsx — feefty","<TAB>"
"23.07.2024","10:13:56 - 10:17:39","special:null","KYC renewal fixes review · Issue #3268 · Feefty/feefty","<TAB>"
"23.07.2024","10:17:39 - 10:17:41","electron","FirstKycVerification.jsx — feefty","<TAB>"
"23.07.2024","10:17:41 - 10:17:42","slack","Phong Ho (DM) - Feefty - Slack","<META + TAB><GRAVE><GRAVE>"
"23.07.2024","10:17:42 - 11:20:01","electron","FirstKycVerification.jsx — feefty","<META + TAB><META + C>⏎<META + V><LEFT><ALT + LEFT><ALT + RIGHT><ALT + ←><META + TAB>"
"23.07.2024","11:20:01 - 11:20:09","slack","Phong Ho (DM) - Feefty - Slack","<META + TAB><TAB><META + TAB>"
"23.07.2024","11:20:09 - 11:20:11","special:null","Verification renewal","<TAB>"
"23.07.2024","11:20:11 - 11:20:15","electron","FirstKycVerification.jsx — feefty","<META + TAB>"
"23.07.2024","11:20:15 - 11:20:23","special:null","Verification renewal","←←⏎"
"23.07.2024","11:20:23 - 11:20:40","special:null","Company verification","<META + TAB>"
"23.07.2024","11:20:40 - 11:20:41","electron","FirstKycVerification.jsx — feefty","<META + TAB>"
"23.07.2024","11:20:41 - 11:20:47","special:null","Company verification","<TAB>"
"23.07.2024","11:20:47 - 11:20:50","electron","FirstKycVerification.jsx — feefty","<META + TAB>"
"23.07.2024","11:20:50 - 11:21:12","special:null","Company verification","<META + TAB>"
"23.07.2024","11:21:12 - 11:21:20","electron","Step4.jsx — feefty","←←←membersç<META + S>"
"23.07.2024","11:21:20 - 11:21:25","electron","FirstKycVerification.jsx — feefty","<META + V>ß"
"23.07.2024","11:21:25 - 11:21:30","electron","RenewalKycVerification.jsx — feefty","√ß"
"23.07.2024","11:21:30 - 11:21:35","electron","Step3.jsx — feefty","<META + V>ß"
"23.07.2024","11:21:35 - 11:22:10","electron","Step4.jsx — feefty","ƒvase⏎⏎⏎⏎⏎⏎⏎<META + C>"
"23.07.2024","11:22:10 - 11:22:44","electron","Step1.jsx — feefty","⏎√⏎<ALT + UP><ALT + RIGHT><ALT + RIGHT><RIGHT><RIGHT><RIGHT><RIGHT><RIGHT><RIGHT><DOWN><DOWN><DOWN><DOWN><DOWN><DOWN><DOWN><DOWN><DOWN><DOWN><DOWN><DOWN><DOWN><DOWN><DOWN><DOWN><DOWN><UP><ALT + DOT>←<META + DOT>⏎<RIGHT><LEFT><LEFT><LEFT>←←←<UP><UP><UP><UP><UP><UP><UP><UP><UP><UP><UP><UP><UP><UP><UP><UP><LEFT><LEFT><LEFT><LEFT><LEFT><LEFT><LEFT><LEFT><LEFT><LEFT><LEFT><LEFT><META + S><META + Z><META + Z><META + Z><META + Z><META + Z><META + Z><META + Z><META + Z><META + Z><META + Z><META + Z><META + Z><META + Z><META + Z><META + S>"
"23.07.2024","11:22:44 - 11:23:02","electron","Step2.jsx — feefty","ƒ<META + N><META + O><META + S><META + A><META + E><META + V><META + ←>sve←←←a←hanldeseva⏎√<ALT + LEFT><LEFT><LEFT><LEFT><LEFT><LEFT><LEFT><LEFT><LEFT><LEFT><LEFT><LEFT><LEFT><LEFT><LEFT>←←←←←←←<TAB><META + TAB>"
"23.07.2024","11:23:02 - 11:23:03","special:null","Company verification","<TAB>lage"
"23.07.2024","11:23:03 - 11:23:09","electron","Step2.jsx — feefty","<ESC>lgeal<META + TAB>"
"23.07.2024","11:23:09 - 11:23:10","special:null","Company verification","<META + TAB>"
"23.07.2024","11:23:10 - 11:23:14","electron","Step2.jsx — feefty","ß"
"23.07.2024","11:23:14 - 11:23:59","electron","Step3.jsx — feefty","<META + F>hadnelsve←←←save<META + ⏎><META + V><ALT + LEFT><ALT + LEFT><ALT + LEFT><LEFT><LEFT><LEFT><LEFT><LEFT><LEFT><LEFT>←←←←←←←<TAB>"
"23.07.2024","11:23:59 - 11:24:00","special:null","Company verification","<META + TAB>u"
"23.07.2024","11:24:00 - 11:24:08","electron","Step3.jsx — feefty","boß"
"23.07.2024","11:24:08 - 11:24:45","electron","Step5.jsx — feefty","ƒahndselav<ESC><DOWN><UP><RIGHT>⏎√<META + ⏎><META + UP><ALT + RIGHT><ALT + RIGHT><ALT + RIGHT><ALT + RIGHT><ALT + RIGHT><RIGHT><RIGHT><RIGHT><RIGHT><RIGHT><RIGHT><RIGHT><RIGHT><RIGHT>←←←←←←←isgnreß"
"23.07.2024","11:24:45 - 11:25:23","electron","FirstKycVerification.jsx — feefty","<META + C>√<META + ⏎><META + F><META + I>9cl⏎<LEFT><RIGHT><LEFT>1<RIGHT>ter unr faesl;⏎ß←←←←←←←elgal<META + S>⏎<META + V>⏎<UP><ALT + RIGHT><ALT + RIGHT><ALT + RIGHT><ALT + RIGHT><ALT + RIGHT><ALT + RIGHT><ALT + RIGHT><ALT + RIGHT><RIGHT><RIGHT><RIGHT><RIGHT><RIGHT><RIGHT><RIGHT><RIGHT>←←←←←←←<META + TAB>"
"23.07.2024","11:25:23 - 11:25:24","special:null","Company verification","<TAB>ub"
"23.07.2024","11:25:24 - 11:25:45","electron","FirstKycVerification.jsx — feefty","o<TAB>if91lc⏎ <RIGHT>rerutn flase;⏎ß<TAB>"
"23.07.2024","11:25:45 - 11:25:50","special:null","Company verification","<META + TAB>"
